   1   12006   12193  12  14   7   7   8  21  16  13  11
   1   22006   22194  15  16  19  16  18   6  12  11  29
   1   32006   32195   6  10   3   3   5   8  15   8   2
   1   42006   42196   3   5   6   2   3   5   3   6   0
   1   52006   52197   7   3   1   9  13  13   9   7   7
   1   62006   62198  13   8  16  14  14  19  16  11   9
   1   72006   72199  12  14   8  12  12  12  26   7   6
   1   82006   82200   8   3   3  11  18  11  11   5   5
   1   92006   92201   2   3   5   1   3   2   1   3   3
   1  102006  102202   4   1   2   2   3   7   7   6   5
   1  112006  112203   5   3   1   2   9  12  10   7   3
   1  122006  122204   6  11   7   7   5   1   2   8   8
   1  132006  132205   6   5   1   5   3   8  14   9   7
   1  142006  142206   7   5   5   3   9   7   7  15   7
   1  152006  152207  10   9   7   4   3   3  13  27  15
   1  162006  162208  27   5  24  22  22  32  45  43  29
   1  172006  172209  16  18  22  19  22  18  11  10   9
   1  182006  182210  20  13  13  23  48   9  29  15  16
   1  192006  192211  15  11   3  10  19  21  16  16  27
   1  202006  202212  14  11   6   4  13  20  24  24  11
   1  212006  212213   8  10  16   5  12  15   5   5   2
   1  222006  222214  12   1   5   9  21  24  23   5  12
   1  232006  232215  28   9  30  29  39  37  25  21  34
   1  242006  242216  11  23  21  19   8   7   5   2   9
   1  252006  252217  15  14   9   6  13   6  13  30  29
   1  262006  262218  47  33  43  14  32  30  98  51  80
   1  272006  272219  20  29  12  18  25  19  18  20  21
   1  282006  282220  12  13  10  13  11  11   6  22  11
   1  292006  292221   3   8   7   4   3   0   1   1   4
   1  302006  302222   3   6   4   2   5   3   3   4   0
   1  312006  312223   4   2   2   2   2   8   9   2   5
   2   12006  322224   7   2   6  11   6  12   5   3  14
   2   22006  332225   9  11   5   5  14   7   9  14  13
   2   32006  342226  10   5   5   8  11   7  11  27  10
   2   42006  352227   9  14  17  10   8  10   7   2   4
   2   52006  362228   7   8   3  11   6   4   3  15   9
   2   62006  372229  26  11  26  15  21  43  18  34  46
   2   72006  382230   8  10   8   8   4   5   6  12  12
   2   82006  392231   6  13   5  11   8   3   1   4   3
   2   92006  402232   5   1   2   6   6   7   3   9  10
   2  102006  412233   7   6   4   4   6   2   1  13  26
   2  112006  422234  12  13   8  14   6  22  26  10   4
   2  122006  432235   9  12  18  12   7  10  11   2   2
   2  132006  442236   5   2   2   4   1   9  12   6   8
   2  142006  452237   3   2   4   3   2   4   1   2  10
   2  152006  462238  20   8   7  13  28  17  13  39  36
   2  162006  472239  15  25  15  29  20  10   8  12   7
   2  172006  482240   8   5  14  10   7  10   9   5   8
   2  182006  492241   5   3   6   3   5  12   5   4   4
   2  192006  502242  14  16  17  14   7   8  14  21  16
   2  202006  512243  37  19  13  26  40  56  76  37  31
   2  212006  522244  32  23  25  28  51  38  39  26  29
   2  222006  532245  26  35  19  26  34  29  42  15  11
   2  232006  542246   7  10  11  11   9   5   4   7   6
   2  242006  552247  10  20   8   3  24  19   7   1   3
   2  252006  562248   3  10   5   5   2   1   1   0   1
   2  262006  572249  12   6  17   7   4  12  20  13  24
   2  272006  582250   6   8   6   9   4   8   1   4  10
   2  282006  592251  11   2   4   6  27  13   6  13  18
   3   12006  602252   0  -1  -1  -1  -1  -1  -1  -1  -1
   3   22006  612253   0  -1  -1  -1  -1  -1  -1  -1  -1
   3   32006  622254   0  -1  -1  -1  -1  -1  -1  -1  -1
   3   42006  632255   0  -1  -1  -1  -1  -1  -1  -1  -1
   3   52006  642256   0  -1  -1  -1  -1  -1  -1  -1  -1
   3   62006  652257   0  -1  -1  -1  -1  -1  -1  -1  -1
   3   72006  662258   0  -1  -1  -1  -1  -1  -1  -1  -1
   3   82006  672259   0  -1  -1  -1  -1  -1  -1  -1  -1
   3   92006  682260   0  -1  -1  -1  -1  -1  -1  -1  -1
   3  102006  692261   0  -1  -1  -1  -1  -1  -1  -1  -1
   3  112006  702262   0  -1  -1  -1  -1  -1  -1  -1  -1
   3  122006  712263   0  -1  -1  -1  -1  -1  -1  -1  -1
   3  132006  722264   0  -1  -1  -1  -1  -1  -1  -1  -1
   3  142006  732265   0  -1  -1  -1  -1  -1  -1  -1  -1
   3  152006  742266   0  -1  -1  -1  -1  -1  -1  -1  -1
   3  162006  752267   0  -1  -1  -1  -1  -1  -1  -1  -1
   3  172006  762268   0  -1  -1  -1  -1  -1  -1  -1  -1
   3  182006  772269   0  -1  -1  -1  -1  -1  -1  -1  -1
